domain,permutation,distance,ips,ips.geo.region,ips.geo.country,ips.geo.asn.number,ips.geo.asn.org,httpBanner,technologies,classification.legitimate,classification.parked,classification.phishing,whois,dnsAaaa,dnsMx,dnsTxt,dnsCname,dnsNs,registration_metadata,domainStatus,pageRank
dunnesstore.com,Omission,1,199.191.50.184,NA,VG,40034,Confluence Networks Inc,,,,,,"{""rdapConformance"":[""rdap_level_0"",""icann_rdap_technical_implementation_guide_1"",""icann_rdap_response_profile_1""],""notices"":[{""title"":""Terms of Service"",""description"":[""Service subject to Terms of Use.""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnesstore.com"",""rel"":""terms-of-service"",""href"":""https://www.verisign.com/domain-names/registration-data-access-protocol/terms-service/index.xhtml"",""type"":""text/html""}]},{""title"":""Status Codes"",""description"":[""For more information on domain status codes, please visit https://icann.org/epp""],""links"":[{""href"":""https://icann.org/epp"",""type"":""text/html""}]},{""title"":""RDDS Inaccuracy Complaint Form"",""description"":[""URL of the ICANN RDDS Inaccuracy Complaint Form: https://icann.org/wicf""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnesstore.com"",""rel"":""help"",""href"":""https://icann.org/wicf"",""type"":""text/html""}]}],""objectClassName"":""domain"",""handle"":""134940133_DOMAIN_COM-VRSN"",""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORE.COM"",""rel"":""self"",""href"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORE.COM"",""type"":""application/rdap+json""},{""value"":""https://rdapserver.net/domain/DUNNESSTORE.COM"",""rel"":""related"",""href"":""https://rdapserver.net/domain/DUNNESSTORE.COM"",""type"":""application/rdap+json""}],""events"":[{""eventAction"":""registration"",""eventDate"":""2004-11-12T20:10:42Z""},{""eventAction"":""expiration"",""eventDate"":""2026-11-12T20:10:42Z""},{""eventAction"":""last changed"",""eventDate"":""2025-10-24T21:28:29Z""},{""eventAction"":""last update of RDAP database"",""eventDate"":""2026-05-02T14:24:15Z""}],""status"":[""client transfer prohibited""],""entities"":[{""objectClassName"":""entity"",""handle"":""303"",""links"":[{""value"":""https://rdapserver.net/"",""rel"":""about"",""href"":""http://www.publicdomainregistry.com"",""type"":""text/html""}],""entities"":[{""objectClassName"":""entity"",""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""""],[""tel"",{""type"":""voice""},""uri"",""tel:+1.2013775952""],[""email"",{},""text"",""abuse-contact@publicdomainregistry.com""]]],""roles"":[""abuse""]}],""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""PDR Ltd. d/b/a PublicDomainRegistry.com""]]],""roles"":[""registrar""],""publicIds"":[{""type"":""IANA Registrar ID"",""identifier"":""303""}]}],""ldhName"":""DUNNESSTORE.COM"",""secureDNS"":{""delegationSigned"":false},""nameservers"":[{""objectClassName"":""nameserver"",""ldhName"":""NS111484.ZTOMY.COM""},{""objectClassName"":""nameserver"",""ldhName"":""NS211484.ZTOMY.COM""}]}",,\~.,v=spf1 a -all,,"ns111484.ztomy.com.,ns211484.ztomy.com.","{""registration_date"":""2004-11-12T20:10:42Z"",""expiration_date"":""2026-11-12T20:10:42Z"",""updated_on"":""2025-10-24T21:28:29Z"",""status_codes"":[""ClientTransferProhibited""],""registrar"":""PDR Ltd. d/b/a PublicDomainRegistry.com"",""registrar_iana_id"":""303"",""registrar_abuse_contact"":""N/A"",""url"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORE.COM"",""server"":null,""nameservers"":[""NS111484.ZTOMY.COM"",""NS211484.ZTOMY.COM""],""dnssec_status"":""Unsigned"",""delegation_signer"":null,""privacy_proxy"":null,""icann_complaint_link"":""https://icann.org/wicf"",""reseller"":""N/A"",""timeline"":[{""Registration"":""2004-11-12T20:10:42Z""},{""Expiration"":""2026-11-12T20:10:42Z""},{""LastChanged"":""2025-10-24T21:28:29Z""}]}","{""domain"":""dunnesstore.com"",""status"":""active"",""tags"":""generic"",""zone"":""com"",""scope"":null,""offers"":[]}",null
dunnestores.com,Omission,1,199.191.50.73,NA,VG,40034,Confluence Networks Inc,openresty,,,,,"{""rdapConformance"":[""rdap_level_0"",""icann_rdap_technical_implementation_guide_1"",""icann_rdap_response_profile_1""],""notices"":[{""title"":""Terms of Service"",""description"":[""Service subject to Terms of Use.""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnestores.com"",""rel"":""terms-of-service"",""href"":""https://www.verisign.com/domain-names/registration-data-access-protocol/terms-service/index.xhtml"",""type"":""text/html""}]},{""title"":""Status Codes"",""description"":[""For more information on domain status codes, please visit https://icann.org/epp""],""links"":[{""href"":""https://icann.org/epp"",""type"":""text/html""}]},{""title"":""RDDS Inaccuracy Complaint Form"",""description"":[""URL of the ICANN RDDS Inaccuracy Complaint Form: https://icann.org/wicf""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnestores.com"",""rel"":""help"",""href"":""https://icann.org/wicf"",""type"":""text/html""}]}],""objectClassName"":""domain"",""handle"":""120196500_DOMAIN_COM-VRSN"",""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/DUNNESTORES.COM"",""rel"":""self"",""href"":""https://rdap.verisign.com/com/v1/domain/DUNNESTORES.COM"",""type"":""application/rdap+json""},{""value"":""https://rdap.maprilis.com.vn/rdap/domain/DUNNESTORES.COM"",""rel"":""related"",""href"":""https://rdap.maprilis.com.vn/rdap/domain/DUNNESTORES.COM"",""type"":""application/rdap+json""}],""events"":[{""eventAction"":""registration"",""eventDate"":""2004-05-15T00:42:52Z""},{""eventAction"":""expiration"",""eventDate"":""2026-05-15T00:42:52Z""},{""eventAction"":""last changed"",""eventDate"":""2025-11-01T21:23:28Z""},{""eventAction"":""last update of RDAP database"",""eventDate"":""2026-05-02T14:24:15Z""}],""status"":[""client delete prohibited"",""client transfer prohibited"",""client update prohibited""],""entities"":[{""objectClassName"":""entity"",""handle"":""1475"",""links"":[{""value"":""https://rdap.maprilis.com.vn/rdap/"",""rel"":""about"",""href"":""http://www.maprilis.com.vn"",""type"":""text/html""}],""entities"":[{""objectClassName"":""entity"",""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""""],[""tel"",{""type"":""voice""},""uri"",""tel:2128731170""],[""email"",{},""text"",""admin@maprilis.net""]]],""roles"":[""abuse""]}],""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""April Sea Corporation Company Limited""]]],""roles"":[""registrar""],""publicIds"":[{""type"":""IANA Registrar ID"",""identifier"":""1475""}]}],""ldhName"":""DUNNESTORES.COM"",""secureDNS"":{""delegationSigned"":false},""nameservers"":[{""objectClassName"":""nameserver"",""ldhName"":""NS111373.ZTOMY.COM""},{""objectClassName"":""nameserver"",""ldhName"":""NS211373.ZTOMY.COM""}]}",,\~.,v=spf1 a -all,,"ns111373.ztomy.com.,ns211373.ztomy.com.","{""registration_date"":""2004-05-15T00:42:52Z"",""expiration_date"":""2026-05-15T00:42:52Z"",""updated_on"":""2025-11-01T21:23:28Z"",""status_codes"":[""ClientDeleteProhibited"",""ClientTransferProhibited"",""ClientUpdateProhibited""],""registrar"":""April Sea Corporation Company Limited"",""registrar_iana_id"":""1475"",""registrar_abuse_contact"":""N/A"",""url"":""https://rdap.verisign.com/com/v1/domain/DUNNESTORES.COM"",""server"":null,""nameservers"":[""NS111373.ZTOMY.COM"",""NS211373.ZTOMY.COM""],""dnssec_status"":""Unsigned"",""delegation_signer"":null,""privacy_proxy"":null,""icann_complaint_link"":""https://icann.org/wicf"",""reseller"":""N/A"",""timeline"":[{""Registration"":""2004-05-15T00:42:52Z""},{""Expiration"":""2026-05-15T00:42:52Z""},{""LastChanged"":""2025-11-01T21:23:28Z""}]}","{""domain"":""dunnestores.com"",""status"":""active"",""tags"":""generic"",""zone"":""com"",""scope"":null,""offers"":[]}",null
dunnes-stores.com,Bitsquatting,1,66.45.246.141,NA,US,19318,"Interserver, Inc",nginx/1.19.5,"Nginx:1.19.5,PHP:5.3.3,jQuery CDN,jQuery UI:1.11.3,jQuery:1.10.2",0.032449555,0.1183506,0.8491998,"{""rdapConformance"":[""rdap_level_0"",""icann_rdap_technical_implementation_guide_1"",""icann_rdap_response_profile_1""],""notices"":[{""title"":""Terms of Service"",""description"":[""Service subject to Terms of Use.""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnes-stores.com"",""rel"":""terms-of-service"",""href"":""https://www.verisign.com/domain-names/registration-data-access-protocol/terms-service/index.xhtml"",""type"":""text/html""}]},{""title"":""Status Codes"",""description"":[""For more information on domain status codes, please visit https://icann.org/epp""],""links"":[{""href"":""https://icann.org/epp"",""type"":""text/html""}]},{""title"":""RDDS Inaccuracy Complaint Form"",""description"":[""URL of the ICANN RDDS Inaccuracy Complaint Form: https://icann.org/wicf""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnes-stores.com"",""rel"":""help"",""href"":""https://icann.org/wicf"",""type"":""text/html""}]}],""objectClassName"":""domain"",""handle"":""1373362624_DOMAIN_COM-VRSN"",""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/DUNNES-STORES.COM"",""rel"":""self"",""href"":""https://rdap.verisign.com/com/v1/domain/DUNNES-STORES.COM"",""type"":""application/rdap+json""},{""value"":""https://rdap.nicco.com/domain/DUNNES-STORES.COM"",""rel"":""related"",""href"":""https://rdap.nicco.com/domain/DUNNES-STORES.COM"",""type"":""application/rdap+json""}],""events"":[{""eventAction"":""registration"",""eventDate"":""2008-01-07T11:07:10Z""},{""eventAction"":""expiration"",""eventDate"":""2027-01-07T11:07:10Z""},{""eventAction"":""last changed"",""eventDate"":""2026-01-08T08:12:41Z""},{""eventAction"":""last update of RDAP database"",""eventDate"":""2026-05-02T14:24:15Z""}],""status"":[""client delete prohibited"",""client transfer prohibited""],""entities"":[{""objectClassName"":""entity"",""handle"":""840"",""links"":[{""value"":""https://rdap.nicco.com/"",""rel"":""about"",""href"":""http://www.nicco.com"",""type"":""text/html""}],""entities"":[{""objectClassName"":""entity"",""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""""],[""tel"",{""type"":""voice""},""uri"",""tel:+18664032975""],[""email"",{},""text"",""accreditation@nicco.com""]]],""roles"":[""abuse""]}],""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""Nikko Reg LLP""]]],""roles"":[""registrar""],""publicIds"":[{""type"":""IANA Registrar ID"",""identifier"":""840""}]}],""ldhName"":""DUNNES-STORES.COM"",""secureDNS"":{""delegationSigned"":false},""nameservers"":[{""objectClassName"":""nameserver"",""ldhName"":""NS1.SERVERHOME.COM""},{""objectClassName"":""nameserver"",""ldhName"":""NS2.SERVERHOME.COM""}]}",,,yGjyZf7SHD,,"NS2.DOMAINRECOVER.com.,NS1.DOMAINRECOVER.com.","{""registration_date"":""2008-01-07T11:07:10Z"",""expiration_date"":""2027-01-07T11:07:10Z"",""updated_on"":""2026-01-08T08:12:41Z"",""status_codes"":[""ClientDeleteProhibited"",""ClientTransferProhibited""],""registrar"":""Nikko Reg LLP"",""registrar_iana_id"":""840"",""registrar_abuse_contact"":""N/A"",""url"":""https://rdap.verisign.com/com/v1/domain/DUNNES-STORES.COM"",""server"":null,""nameservers"":[""NS1.SERVERHOME.COM"",""NS2.SERVERHOME.COM""],""dnssec_status"":""Unsigned"",""delegation_signer"":null,""privacy_proxy"":null,""icann_complaint_link"":""https://icann.org/wicf"",""reseller"":""N/A"",""timeline"":[{""Registration"":""2008-01-07T11:07:10Z""},{""Expiration"":""2027-01-07T11:07:10Z""},{""LastChanged"":""2026-01-08T08:12:41Z""}]}","{""domain"":""dunnes-stores.com"",""status"":""active"",""tags"":""generic"",""zone"":""com"",""scope"":null,""offers"":[]}","{""domain"":""dunnes-stores.com"",""status_code"":200,""error"":null,""page_rank_integer"":1,""page_rank_decimal"":0.55,""rank"":""163045889"",""last_updated"":""28th Mar 2026""}"
dunnesstories.com,Bitsquatting,1,91.210.232.150,EU,IE,39122,Blacknight Internet Solutions Limited,,,,,,"{""rdapConformance"":[""rdap_level_0"",""icann_rdap_technical_implementation_guide_1"",""icann_rdap_response_profile_1""],""notices"":[{""title"":""Terms of Service"",""description"":[""Service subject to Terms of Use.""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnesstories.com"",""rel"":""terms-of-service"",""href"":""https://www.verisign.com/domain-names/registration-data-access-protocol/terms-service/index.xhtml"",""type"":""text/html""}]},{""title"":""Status Codes"",""description"":[""For more information on domain status codes, please visit https://icann.org/epp""],""links"":[{""href"":""https://icann.org/epp"",""type"":""text/html""}]},{""title"":""RDDS Inaccuracy Complaint Form"",""description"":[""URL of the ICANN RDDS Inaccuracy Complaint Form: https://icann.org/wicf""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnesstories.com"",""rel"":""help"",""href"":""https://icann.org/wicf"",""type"":""text/html""}]}],""objectClassName"":""domain"",""handle"":""2541727607_DOMAIN_COM-VRSN"",""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORIES.COM"",""rel"":""self"",""href"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORIES.COM"",""type"":""application/rdap+json""},{""value"":""https://rdap.namecheap.com/domain/DUNNESSTORIES.COM"",""rel"":""related"",""href"":""https://rdap.namecheap.com/domain/DUNNESSTORIES.COM"",""type"":""application/rdap+json""}],""events"":[{""eventAction"":""registration"",""eventDate"":""2020-06-25T18:42:39Z""},{""eventAction"":""expiration"",""eventDate"":""2026-06-25T18:42:39Z""},{""eventAction"":""last changed"",""eventDate"":""2025-05-26T07:09:50Z""},{""eventAction"":""last update of RDAP database"",""eventDate"":""2026-05-02T14:24:15Z""}],""status"":[""client transfer prohibited""],""entities"":[{""objectClassName"":""entity"",""handle"":""1068"",""links"":[{""value"":""https://rdap.namecheap.com/"",""rel"":""about"",""href"":""http://www.namecheap.com"",""type"":""text/html""}],""entities"":[{""objectClassName"":""entity"",""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""""],[""tel"",{""type"":""voice""},""uri"",""tel:+1.6613102107""],[""email"",{},""text"",""abuse@namecheap.com""]]],""roles"":[""abuse""]}],""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""NameCheap, Inc.""]]],""roles"":[""registrar""],""publicIds"":[{""type"":""IANA Registrar ID"",""identifier"":""1068""}]}],""ldhName"":""DUNNESSTORIES.COM"",""secureDNS"":{""delegationSigned"":false},""nameservers"":[{""objectClassName"":""nameserver"",""ldhName"":""NS1.WEBHOSTINGIRELAND.IE""},{""objectClassName"":""nameserver"",""ldhName"":""NS2.WEBHOSTINGIRELAND.IE""},{""objectClassName"":""nameserver"",""ldhName"":""NS3.WEBHOSTINGIRELAND.IE""},{""objectClassName"":""nameserver"",""ldhName"":""NS4.WEBHOSTINGIRELAND.EU""}]}",,mail.dunnesstories.com.,v=spf1 ip4:91.210.232.150 include:spf.webhostingireland.ie +a +mx ~all,,"ns1.webhostingireland.ie.,ns2.webhostingireland.ie.,ns4.webhostingireland.eu.,ns3.webhostingireland.ie.","{""registration_date"":""2020-06-25T18:42:39Z"",""expiration_date"":""2026-06-25T18:42:39Z"",""updated_on"":""2025-05-26T07:09:50Z"",""status_codes"":[""ClientTransferProhibited""],""registrar"":""NameCheap, Inc."",""registrar_iana_id"":""1068"",""registrar_abuse_contact"":""N/A"",""url"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORIES.COM"",""server"":null,""nameservers"":[""NS1.WEBHOSTINGIRELAND.IE"",""NS2.WEBHOSTINGIRELAND.IE"",""NS3.WEBHOSTINGIRELAND.IE"",""NS4.WEBHOSTINGIRELAND.EU""],""dnssec_status"":""Unsigned"",""delegation_signer"":null,""privacy_proxy"":null,""icann_complaint_link"":""https://icann.org/wicf"",""reseller"":""N/A"",""timeline"":[{""Registration"":""2020-06-25T18:42:39Z""},{""Expiration"":""2026-06-25T18:42:39Z""},{""LastChanged"":""2025-05-26T07:09:50Z""}]}","{""domain"":""dunnesstories.com"",""status"":""active"",""tags"":""generic"",""zone"":""com"",""scope"":null,""offers"":[]}","{""domain"":""dunnesstories.com"",""status_code"":200,""error"":null,""page_rank_integer"":0,""page_rank_decimal"":0,""rank"":""248932192"",""last_updated"":""28th Mar 2026""}"
dunnesstores.co,Omission,1,,,,,,,,,,,,,,,,"ns1.blacknight.com.,ns2.blacknight.com.",,"{""domain"":""dunnesstores.co"",""status"":""active"",""tags"":""country geo"",""zone"":""co"",""scope"":null,""offers"":[]}",null
dunnesstoresoffers.com,Keyword,6,104.18.26.78,,,13335,"Cloudflare, Inc.",,,,,,"{""rdapConformance"":[""rdap_level_0"",""icann_rdap_technical_implementation_guide_1"",""icann_rdap_response_profile_1""],""notices"":[{""title"":""Terms of Service"",""description"":[""Service subject to Terms of Use.""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnesstoresoffers.com"",""rel"":""terms-of-service"",""href"":""https://www.verisign.com/domain-names/registration-data-access-protocol/terms-service/index.xhtml"",""type"":""text/html""}]},{""title"":""Status Codes"",""description"":[""For more information on domain status codes, please visit https://icann.org/epp""],""links"":[{""href"":""https://icann.org/epp"",""type"":""text/html""}]},{""title"":""RDDS Inaccuracy Complaint Form"",""description"":[""URL of the ICANN RDDS Inaccuracy Complaint Form: https://icann.org/wicf""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnesstoresoffers.com"",""rel"":""help"",""href"":""https://icann.org/wicf"",""type"":""text/html""}]}],""objectClassName"":""domain"",""handle"":""3054756968_DOMAIN_COM-VRSN"",""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORESOFFERS.COM"",""rel"":""self"",""href"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORESOFFERS.COM"",""type"":""application/rdap+json""},{""value"":""https://rdap.hkdns.hk/rdap/domain/DUNNESSTORESOFFERS.COM"",""rel"":""related"",""href"":""https://rdap.hkdns.hk/rdap/domain/DUNNESSTORESOFFERS.COM"",""type"":""application/rdap+json""}],""events"":[{""eventAction"":""registration"",""eventDate"":""2026-01-06T09:01:38Z""},{""eventAction"":""expiration"",""eventDate"":""2027-01-06T09:01:38Z""},{""eventAction"":""last changed"",""eventDate"":""2026-01-06T09:01:38Z""},{""eventAction"":""last update of RDAP database"",""eventDate"":""2026-05-02T14:24:15Z""}],""status"":[""active""],""entities"":[{""objectClassName"":""entity"",""handle"":""1915"",""links"":[{""value"":""https://rdap.hkdns.hk/rdap/"",""rel"":""about"",""href"":""http://www.hkdns.hk"",""type"":""text/html""}],""entities"":[{""objectClassName"":""entity"",""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""""],[""tel"",{""type"":""voice""},""uri"",""tel:0852.30697963""],[""email"",{},""text"",""abuse@hkdns.hk""]]],""roles"":[""abuse""]}],""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""West263 International Limited""]]],""roles"":[""registrar""],""publicIds"":[{""type"":""IANA Registrar ID"",""identifier"":""1915""}]}],""ldhName"":""DUNNESSTORESOFFERS.COM"",""secureDNS"":{""delegationSigned"":false},""nameservers"":[{""objectClassName"":""nameserver"",""ldhName"":""NS1.VIZO-DNS.COM""},{""objectClassName"":""nameserver"",""ldhName"":""NS2.VIZO-DNS.COM""}]}",,,,,"ns1.ec-dns.com.,ns2.ec-dns.com.","{""registration_date"":""2026-01-06T09:01:38Z"",""expiration_date"":""2027-01-06T09:01:38Z"",""updated_on"":""2026-01-06T09:01:38Z"",""status_codes"":[""Ok""],""registrar"":""West263 International Limited"",""registrar_iana_id"":""1915"",""registrar_abuse_contact"":""N/A"",""url"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORESOFFERS.COM"",""server"":null,""nameservers"":[""NS1.VIZO-DNS.COM"",""NS2.VIZO-DNS.COM""],""dnssec_status"":""Unsigned"",""delegation_signer"":null,""privacy_proxy"":null,""icann_complaint_link"":""https://icann.org/wicf"",""reseller"":""N/A"",""timeline"":[{""Registration"":""2026-01-06T09:01:38Z""},{""Expiration"":""2027-01-06T09:01:38Z""},{""LastChanged"":""2026-01-06T09:01:38Z""}]}","{""domain"":""dunnesstoresoffers.com"",""status"":""active"",""tags"":""generic"",""zone"":""com"",""scope"":null,""offers"":[]}",null
dunnesstoresofficial.com,Keyword,8,34.54.200.74,NA,US,396982,Google LLC,nginx,,,,,"{""rdapConformance"":[""rdap_level_0"",""icann_rdap_technical_implementation_guide_1"",""icann_rdap_response_profile_1""],""notices"":[{""title"":""Terms of Service"",""description"":[""Service subject to Terms of Use.""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnesstoresofficial.com"",""rel"":""terms-of-service"",""href"":""https://www.verisign.com/domain-names/registration-data-access-protocol/terms-service/index.xhtml"",""type"":""text/html""}]},{""title"":""Status Codes"",""description"":[""For more information on domain status codes, please visit https://icann.org/epp""],""links"":[{""href"":""https://icann.org/epp"",""type"":""text/html""}]},{""title"":""RDDS Inaccuracy Complaint Form"",""description"":[""URL of the ICANN RDDS Inaccuracy Complaint Form: https://icann.org/wicf""],""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/dunnesstoresofficial.com"",""rel"":""help"",""href"":""https://icann.org/wicf"",""type"":""text/html""}]}],""objectClassName"":""domain"",""handle"":""3080080542_DOMAIN_COM-VRSN"",""links"":[{""value"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORESOFFICIAL.COM"",""rel"":""self"",""href"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORESOFFICIAL.COM"",""type"":""application/rdap+json""},{""value"":""https://rdap.hkdns.hk/rdap/domain/DUNNESSTORESOFFICIAL.COM"",""rel"":""related"",""href"":""https://rdap.hkdns.hk/rdap/domain/DUNNESSTORESOFFICIAL.COM"",""type"":""application/rdap+json""}],""events"":[{""eventAction"":""registration"",""eventDate"":""2026-03-24T06:15:16Z""},{""eventAction"":""expiration"",""eventDate"":""2027-03-24T06:15:16Z""},{""eventAction"":""last changed"",""eventDate"":""2026-03-24T06:15:16Z""},{""eventAction"":""last update of RDAP database"",""eventDate"":""2026-05-02T14:24:15Z""}],""status"":[""active""],""entities"":[{""objectClassName"":""entity"",""handle"":""1915"",""links"":[{""value"":""https://rdap.hkdns.hk/rdap/"",""rel"":""about"",""href"":""http://www.hkdns.hk"",""type"":""text/html""}],""entities"":[{""objectClassName"":""entity"",""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""""],[""tel"",{""type"":""voice""},""uri"",""tel:0852.30697963""],[""email"",{},""text"",""abuse@hkdns.hk""]]],""roles"":[""abuse""]}],""vcardArray"":[""vcard"",[[""version"",{},""text"",""4.0""],[""fn"",{},""text"",""West263 International Limited""]]],""roles"":[""registrar""],""publicIds"":[{""type"":""IANA Registrar ID"",""identifier"":""1915""}]}],""ldhName"":""DUNNESSTORESOFFICIAL.COM"",""secureDNS"":{""delegationSigned"":false},""nameservers"":[{""objectClassName"":""nameserver"",""ldhName"":""NS1.HTTP-DNS.COM""},{""objectClassName"":""nameserver"",""ldhName"":""NS2.HTTP-DNS.COM""}]}",,,,,"ns1.ec-dns.com.,ns2.ec-dns.com.","{""registration_date"":""2026-03-24T06:15:16Z"",""expiration_date"":""2027-03-24T06:15:16Z"",""updated_on"":""2026-03-24T06:15:16Z"",""status_codes"":[""Ok""],""registrar"":""West263 International Limited"",""registrar_iana_id"":""1915"",""registrar_abuse_contact"":""N/A"",""url"":""https://rdap.verisign.com/com/v1/domain/DUNNESSTORESOFFICIAL.COM"",""server"":null,""nameservers"":[""NS1.HTTP-DNS.COM"",""NS2.HTTP-DNS.COM""],""dnssec_status"":""Unsigned"",""delegation_signer"":null,""privacy_proxy"":null,""icann_complaint_link"":""https://icann.org/wicf"",""reseller"":""N/A"",""timeline"":[{""Registration"":""2026-03-24T06:15:16Z""},{""Expiration"":""2027-03-24T06:15:16Z""},{""LastChanged"":""2026-03-24T06:15:16Z""}]}","{""domain"":""dunnesstoresofficial.com"",""status"":""active"",""tags"":""generic"",""zone"":""com"",""scope"":null,""offers"":[]}",null
dunnesstores.co.uk,Tld,3,199.191.50.185,NA,VG,40034,Confluence Networks Inc,openresty,,,,,,,\~.,v=spf1 a -all,,"ns211485.ztomy.com.,ns111485.ztomy.com.",,"{""domain"":""dunnesstores.co.uk"",""status"":""active"",""tags"":"""",""zone"":""co.uk"",""scope"":null,""offers"":[]}",null
dunnesstores.es,Tld,3,103.224.212.205,OC,AU,133618,Trellian Pty. Limited,Apache,,,,,,,park-mx.above.com.,"0ad094978b47130a6a809a0396525cae21191ed6,v=spf1 ip6:fdcf:abda:4154::/48 -all",,"ns1.abovedomains.com.,ns2.abovedomains.com.",,"{""domain"":""dunnesstores.es"",""status"":""active"",""tags"":""country geo"",""zone"":""es"",""scope"":null,""offers"":[]}",null
dunnesstores.eu,Tld,3,,,,,,,,,,,,,,,,"ns1.blacknight.com.,ns3.blacknight.com.,ns4.blacknight.com.,ns2.blacknight.com.",,"{""domain"":""dunnesstores.eu"",""status"":""active"",""tags"":""country geo"",""zone"":""eu"",""scope"":null,""offers"":[]}",null
